service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
497,0,0,1,0,0,0,0,20230221,20230409
498,0,0,0,1,0,0,0,20230221,20230409
496,0,1,0,0,0,0,0,20230221,20230409
502,1,0,0,0,0,0,0,20230221,20230409
499,0,0,0,0,1,0,0,20230221,20230409
526,0,0,1,0,0,0,0,20230410,20230708
525,0,1,0,0,0,0,0,20230410,20230708
528,0,0,0,0,1,0,0,20230410,20230708
531,1,0,0,0,0,0,0,20230410,20230708
527,0,0,0,1,0,0,0,20230410,20230708
503,0,0,0,0,0,0,0,20230221,20230409
500,0,0,0,0,0,1,0,20230221,20230409
501,0,0,0,0,0,0,1,20230221,20230409
524,0,0,0,0,0,0,0,20230410,20230708
533,0,0,0,0,0,0,0,20230410,20230708
530,0,0,0,0,0,0,1,20230410,20230708
529,0,0,0,0,0,1,0,20230410,20230708
532,0,0,0,0,0,0,0,20230410,20230708